doi,urls,positions
10.5281/zenodo.10000,https://github.com/roryk/bcbio.rnaseq/tree/1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000003,https://github.com/tqdm/tqdm/tree/v4.18.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10000051,https://github.com/EyeofBeholder-NLeSC/orange3-argument/tree/0.1.2-alpha,metadata.related_identifiers[0].identifier
10.5281/zenodo.10000162,https://github.com/VitF/Neu-BrAuER,metadata.description
10.5281/zenodo.1000051,https://github.com/theavey/ParaTemp/tree/v0.0.2-alpha,metadata.related_identifiers[0].identifier
10.5281/zenodo.10000787,https://github.com/socialsoftware/business-logic-consistency-models/tree/v1.1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000098,https://github.com/datalad/datalad/tree/0.9.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10001,https://github.com/billhsu/RayTracer/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10001100,"https://github.com/Augusto-de-Lelis-Araujo/VASProcar-Python-tools-VASP, https://github.com/Augusto-de-Lelis-Araujo/VASProcar-Python-tools-VASP, https://github.com/Augusto-de-Lelis-Araujo/VASProcar-Python-tools-for-DFT-calculations","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10001137,"https://github.com/aghozlane/shaman, https://github.com/aghozlane/shaman","metadata.description, metadata.description"
10.5281/zenodo.1000119,https://github.com/cdcrabtree/nomine/tree/1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000120,https://github.com/cdcrabtree/nomine/tree/0.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10001229,https://github.com/ROMSKURO/SCS_Observation/tree/SCS_Observation_Data,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000155,"https://github.com/thomaskrause/graphANNIS/issues/20, https://github.com/thomaskrause/graphANNIS/issues/14, https://github.com/thomaskrause/graphANNIS/issues/13, https://github.com/thomaskrause/graphANNIS/issues/19, https://github.com/thomaskrause/graphANNIS/issues/18, https://github.com/thomaskrause/graphANNIS/issues/17, https://github.com/thomaskrause/graphANNIS/issues/16, https://github.com/thomaskrause/graphANNIS/issues/15, https://github.com/thomaskrause/graphANNIS/issues/12, https://github.com/thomaskrause/graphANNIS/tree/v0.4.0","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10001584,https://github.com/TobiasRitschel/FiniteDifferenceTool,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000160,https://github.com/PromoterPredict/PromoterStrengthPredictor/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1000161,https://github.com/PromoterPredict/PromoterStrengthPredictorML/tree/1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10001755,https://github.com/arjaycc/ai_otolith/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10001764,https://github.com/coenig/very-fast-math,metadata.description
10.5281/zenodo.10001783,https://github.com/aladinor/Atmoscol2023/tree/0.1.0-Beta,metadata.related_identifiers[0].identifier
