doi,urls,positions
10.5281/zenodo.10258191,"https://github.com/thiebes/DICE/tree/v1.1.4, https://github.com/thiebes/DICE","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10258192,"https://github.com/thiebes/DICE/blob/main/README.md, https://github.com/thiebes/DICE/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258210,https://github.com/kyuhank/MackerelStateSpace/tree/v1.0.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258211,https://github.com/kyuhank/MackerelStateSpace/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258214,https://github.com/dapperstats/salvage/tree/2023-12-05_00-58,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258223,"https://github.com/CliMA/ClimaCore.jl/compare/v0.11.1...v0.11.2, https://github.com/CliMA/ClimaCore.jl/tree/v0.11.2","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258256,"https://github.com/ccpem/roodmus/pull/41, https://github.com/ccpem/roodmus/compare/v0.0.31...v0.0.35, https://github.com/ccpem/roodmus/tree/v0.0.35","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258257,https://github.com/ccpem/roodmus/tree/v0.0.22,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258266,https://github.com/YSakaiGH/autophagosome_shapes/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258267,https://github.com/YSakaiGH/autophagosome_shapes/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258268,"https://github.com/kyungguk1/hybrid_code-hfemic_wave/releases/tag/releases%2Fv1.0.0, https://github.com/kyungguk1/hybrid_code-hfemic_wave/tree/releases/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258269,"https://github.com/kyungguk1/hybrid_code-hfemic_wave/releases/tag/releases%2Fv1.0.0, https://github.com/kyungguk1/hybrid_code-hfemic_wave/tree/releases/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258274,"https://github.com/AMReX-Codes/amrex/tree/23.12, https://github.com/ECP-WarpX/picsar/tree/23.09, https://github.com/picmi-standard/picmi, https://github.com/openPMD/openPMD-api, https://github.com/ECP-WarpX/WarpX/tree/23.12","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258278,https://github.com/MosquitoAlert/Data/tree/v1.339.2023,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258279,https://github.com/ccpem/roodmus/tree/v0.0.23,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258280,"https://github.com/thieu1995/GrafoRVFL/tree/v2.2.0, https://github.com/thieu1995/GrafoRVFL","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10258281,https://github.com/thieu1995/GrafoRVFL/tree/v0.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258286,https://github.com/thieu1995/GrafoRVFL/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258295,https://github.com/victoriatchu/agingAMR/tree/v2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258300,https://github.com/AlexanderLabWHOI/EUKulele/tree/v1.0.2z,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258305,https://github.com/AlexanderLabWHOI/EUKulele/tree/v1.0.2z,metadata.related_identifiers[0].identifier
10.5281/zenodo.10258308,"https://github.com/JuliaDiff/TaylorSeries.jl/compare/v0.15.3...v0.15.4, https://github.com/JuliaDiff/TaylorSeries.jl/tree/v0.15.4","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10258309,https://github.com/AlexanderLabWHOI/EUKulele/tree/v1.0.2z,metadata.related_identifiers[0].identifier
