doi,urls,positions
10.5281/zenodo.10185294,https://github.com/3D-e-Chem/knime-plants/tree/v0.3.6,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185300,https://github.com/CyclotronResearchCentre/bidsme/tree/1.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185301,https://github.com/digicademy/AskMoreXtension/tree/1.4.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185310,https://github.com/sertit/sertit-utils/tree/v1.32.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185313,"https://github.com/pmlmodelling/NEMO3.6-FABM, https://github.com/fabm-model/fabm","metadata.description, metadata.description"
10.5281/zenodo.10185314,"https://github.com/pmlmodelling/NEMO3.6-FABM, https://github.com/fabm-model/fabm","metadata.description, metadata.description"
10.5281/zenodo.10185317,https://github.com/ablab/spades/tree/rnacloudSPAdes,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185327,"https://github.com/ActivityWatch/activitywatch/blob/master/README.md, https://github.com/ActivityWatch/activitywatch/releases/download/v0.12.3b15/activitywatch-v0.12.3b15-windows-x86_64-setup.exe, https://github.com/ActivityWatch/activitywatch/releases/download/v0.12.3b15/activitywatch-v0.12.3b15-macos-x86_64.dmg, https://github.com/ActivityWatch/activitywatch/releases/download/v0.12.3b15/activitywatch-v0.12.3b15-linux-x86_64.zip, https://github.com/ActivityWatch/activitywatch/issues/935, https://github.com/ActivityWatch/activitywatch/commit/2c0216d, https://github.com/ActivityWatch/activitywatch/compare/v0.12.3b14...v0.12.3b15, https://github.com/ActivityWatch/aw-server/commit/b686b14, https://github.com/ActivityWatch/aw-server-rust/commit/5dd5f34, https://github.com/ActivityWatch/aw-server-rust/commit/ae8f7bf, https://github.com/ActivityWatch/aw-webui/commit/0282eec, https://github.com/ActivityWatch/aw-webui/commit/7de395b, https://github.com/ActivityWatch/aw-webui/commit/5540cb8, https://github.com/ActivityWatch/aw-webui/commit/d0d3682, https://github.com/ActivityWatch/aw-webui/commit/51330e4, https://github.com/ActivityWatch/aw-webui/commit/8babe10, https://github.com/ActivityWatch/media/commit/ae8d373, https://github.com/ActivityWatch/aw-client/commit/75ae591, https://github.com/ActivityWatch/aw-client/commit/b4598ff, https://github.com/ActivityWatch/aw-client/commit/4938210, https://github.com/ActivityWatch/aw-notify/commit/4efe542, https://github.com/ActivityWatch/aw-watcher-input/commit/e012b51, https://github.com/ActivityWatch/activitywatch/compare/v0.12.3b14...v0.12.3b15, https://github.com/ActivityWatch/activitywatch/tree/v0.12.3b15","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10185339,https://github.com/metapsy-project/data-gad-psyctr/tree/23.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10185342,"https://github.com/euroargodev/VirtualFleet/pull/22, https://github.com/euroargodev/VirtualFleet/pull/25, https://github.com/euroargodev/VirtualFleet/compare/v0.3.0...v0.3.1, https://github.com/euroargodev/VirtualFleet/tree/v0.3.1","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
