doi,urls,positions
10.5281/zenodo.1002880,https://github.com/MCZbase/DataShot_DesktopApp/tree/v1.3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1002881,https://github.com/MCZbase/DataShot_DesktopApp/tree/v1.2.5,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028895,https://github.com/virtualcell/vcell/tree/7.5.0.71,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028896,https://github.com/nrbernals/Homogenizacion_series/tree/0.0.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028897,"https://github.com/Sage-Bionetworks/synapsePythonClient/pull/979, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/983, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/984, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/987, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/988, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/989, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/990, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/979, https://github.com/Sage-Bionetworks/synapsePythonClient/pull/987, https://github.com/Sage-Bionetworks/synapsePythonClient/compare/v3.0.0...v3.1.0-rc, https://github.com/Sage-Bionetworks/synapsePythonClient/tree/v3.1.0-rc","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1002893,https://github.com/jmonlong/epipopsv/tree/0.9.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028966,"https://github.com/truera/trulens/pull/503, https://github.com/truera/trulens/pull/501, https://github.com/truera/trulens/pull/506, https://github.com/truera/trulens/pull/500, https://github.com/truera/trulens/pull/507, https://github.com/truera/trulens/pull/480, https://github.com/truera/trulens/pull/508, https://github.com/truera/trulens/pull/502, https://github.com/truera/trulens/pull/504, https://github.com/truera/trulens/pull/505, https://github.com/truera/trulens/pull/510, https://github.com/truera/trulens/pull/511, https://github.com/truera/trulens/pull/513, https://github.com/truera/trulens/pull/514, https://github.com/truera/trulens/pull/506, https://github.com/truera/trulens/pull/500, https://github.com/truera/trulens/compare/trulens-eval-0.15.3...trulens-eval-0.16.0, https://github.com/truera/trulens/tree/trulens-eval-0.16.0","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10028967,"https://github.com/f0uriest/interpax/pull/83, https://github.com/f0uriest/interpax/pull/88, https://github.com/f0uriest/interpax/pull/93, https://github.com/f0uriest/interpax/pull/24, https://github.com/f0uriest/interpax/compare/v0.3.7...v0.3.8, https://github.com/f0uriest/interpax/tree/v0.3.8, https://github.com/f0uriest/interpax","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10028968,https://github.com/f0uriest/interpax/tree/v0.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028981,https://github.com/dapperstats/salvage/tree/2023-10-21_00-13,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028990,"https://github.com/Mosquito-Alert/sampling_effort_data, https://github.com/Mosquito-Alert/sampling_effort_data/tree/v2023.10.21","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10028991,https://github.com/altunenes/scramblery/tree/1.2.5,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028992,"https://github.com/UXARRAY/uxarray/pull/466, https://github.com/UXARRAY/uxarray/pull/485, https://github.com/UXARRAY/uxarray/pull/495, https://github.com/UXARRAY/uxarray/pull/505, https://github.com/UXARRAY/uxarray/pull/510, https://github.com/UXARRAY/uxarray/pull/455, https://github.com/UXARRAY/uxarray/compare/v2023.10.0...v2023.10.1, https://github.com/UXARRAY/uxarray/tree/v2023.10.1","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10028993,https://github.com/raphaelquast/EOmaps/tree/v7.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10028996,https://github.com/MosquitoAlert/Data/tree/v1.294.2023,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029,https://github.com/Terradue/InSAR-ROI_PAC/tree/v0.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029002,"https://github.com/aashildte/emimechanicalmodel, https://github.com/aashildte/virtualss, https://github.com/aashildte/emimech_geometries","metadata.description, metadata.description, metadata.description"
10.5281/zenodo.10029003,"https://github.com/aashildte/emimechanicalmodel, https://github.com/aashildte/virtualss, https://github.com/aashildte/emimech_geometries","metadata.description, metadata.description, metadata.description"
10.5281/zenodo.10029052,https://github.com/youlab/OccupancyAbundanceRelationship/tree/GeneFitness,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029053,https://github.com/youlab/OccupancyAbundanceRelationship/tree/GeneFitness,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029079,"https://github.com/raghavnarula/MovieRecommender/pull/20, https://github.com/raghavnarula/MovieRecommender/pull/21, https://github.com/raghavnarula/MovieRecommender/compare/v2.0...v2.5, https://github.com/raghavnarula/MovieRecommender/tree/v2.5","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10029110,https://github.com/BigDataBiology/SemiBin/tree/v2.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1002916,https://github.com/kizniche/Mycodo/tree/v5.2.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.1002917,"https://bitbucket.org/woodsp/trailcam_motion_detection, https://github.com/richpsharp/trailcam-motion/tree/1.0.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1002918,"https://bitbucket.org/woodsp/trailcam_motion_detection, https://github.com/richpsharp/trailcam-motion/tree/1.0.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10029270,https://github.com/TeHanHunter/TESS_Gaia_Light_Curve/tree/0.6.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029272,https://github.com/nmerovingian/ECINN/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029273,https://github.com/nmerovingian/ECINN/tree/ECINN,metadata.related_identifiers[0].identifier
10.5281/zenodo.10029274,"https://github.com/xsuite/xtrack/compare/v0.44.0...v0.44.1, https://github.com/xsuite/xtrack/tree/v0.44.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10029275,https://github.com/nmerovingian/ECINN/tree/v1.0.0,metadata.related_identifiers[0].identifier
