doi,urls,positions
10.5281/zenodo.10037888,"https://github.com/openjournals/joss-reviews/issues/1943, https://github.com/openjournals/joss-reviews/issues/1943, https://github.com/fatiando/pooch, https://github.com/fatiando/pooch","metadata.description, metadata.description, metadata.description, metadata.description"
10.5281/zenodo.10037889,"https://github.com/leonbohmann/APReader/pull/21, https://github.com/leonbohmann/APReader/pull/21, https://github.com/leonbohmann/APReader/compare/v1.1.2.1...v1.1.3, https://github.com/leonbohmann/APReader/tree/v1.1.3","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10037890,https://github.com/scottprahl/laserbeamsize/tree/2.0.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037891,https://github.com/CenterForAssessment/SGP/tree/ea8d8a3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037892,https://github.com/siplab-gt/cleo/tree/v0.12.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037893,https://github.com/BlueBrain/BluePyEModel/tree/0.0.53,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037894,"https://github.com/nasa-pds/registry)., https://github.com/NASA-PDS/harvest/tree/v3.9.0-SNAPSHOT","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10037895,"https://github.com/nasa-pds/registry)., https://github.com/NASA-PDS/harvest/tree/v3.9.0-SNAPSHOT","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10037896,https://github.com/QI2lab/mcSIM/tree/v1.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037903,https://github.com/NASA-PDS/registry-loader/tree/v0.5.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037906,https://github.com/mrbuche/flavio/tree/v0.1.7,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037908,https://github.com/BlueBrain/BluePyEModel/tree/0.0.54,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037913,https://github.com/NASA-PDS/registry/tree/v1.4.0-dev,metadata.related_identifiers[0].identifier
10.5281/zenodo.10037914,https://gitlab.com/materials-modeling/dynasor/-/releases/2.0,metadata.related_identifiers[0].identifier
