doi,urls,positions
10.5281/zenodo.10158451,https://github.com/CSU-KangHu/HiTE/tree/v.3.0.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158571,https://github.com/linsalrob/spae/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158584,https://github.com/thorek1/MacroModelling.jl/tree/v0.1.31+docfix,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158616,https://github.com/acoular/acoular/tree/v23.11,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158621,https://github.com/spex-xray/pyspextools/tree/0.6.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158653,https://github.com/UVoggenberger/rs_drift/tree/license,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158658,https://github.com/thorek1/MacroModelling.jl/tree/v0.1.31+docfix,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158659,https://github.com/actris-cloudnet/cloudnetpy/tree/v1.55.21,metadata.related_identifiers[0].identifier
10.5281/zenodo.10158695,"https://github.com/HKJL10201/VetEOS, https://github.com/HKJL10201/VetEOS","metadata.description, metadata.description"
10.5281/zenodo.10158696,"https://github.com/HKJL10201/VetEOS, https://github.com/HKJL10201/VetEOS","metadata.description, metadata.description"
10.5281/zenodo.10158699,"https://github.com/BenediktHeinrichs/metadataextractor/compare/v0.5.2...v0.5.3, https://github.com/BenediktHeinrichs/metadataextractor/tree/v0.5.3","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10158700,"https://github.com/BenediktHeinrichs/metadataextractor/pull/6, https://github.com/BenediktHeinrichs/metadataextractor/compare/v0.4.1...v0.4.2, https://github.com/BenediktHeinrichs/metadataextractor/tree/v0.4.2","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10158731,"https://github.com/BenediktHeinrichs/Multi-Store-Search/commits/v1.0.0, https://github.com/BenediktHeinrichs/Multi-Store-Search/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
