doi,urls,positions
10.5281/zenodo.10214665,https://github.com/woodcockgrp/evotypes_p1/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214666,https://github.com/woodcockgrp/evotypes_p1/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214677,"https://github.com/RichardObi/medigan, https://github.com/KSH0660/BrainTumor&quot;}","metadata.description, metadata.description"
10.5281/zenodo.10214686,https://github.com/moble/quaternionic/tree/v1.0.7,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214718,https://github.com/ASFHyP3/hyp3-gamma/tree/v7.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214723,https://github.com/moble/quaternionic/tree/v1.0.8,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214744,https://github.com/Geode-solutions/OpenGeode/tree/v14.10.0-rc.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214745,"https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-aarch64-apple-darwin.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-aarch64-apple-darwin.tar.xz.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-apple-darwin.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-apple-darwin.tar.xz.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-pc-windows-msvc.zip, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-pc-windows-msvc.zip.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-unknown-linux-gnu.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-cli-x86_64-unknown-linux-gnu.tar.xz.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-aarch64-apple-darwin.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-aarch64-apple-darwin.tar.xz.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-apple-darwin.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-apple-darwin.tar.xz.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-pc-windows-msvc.zip, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-pc-windows-msvc.zip.sha256, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-unknown-linux-gnu.tar.xz, https://github.com/korpling/graphANNIS/releases/download/v3.0.0/graphannis-webservice-x86_64-unknown-linux-gnu.tar.xz.sha256, https://github.com/korpling/graphANNIS/tree/v3.0.0","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10214753,https://github.com/Tauffer-Consulting/domino/tree/domino-py-0.9.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214754,https://github.com/Tauffer-Consulting/domino/tree/domino-py-0.8.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214764,https://github.com/apcamargo/genomad/tree/v1.7.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214775,https://github.com/carnegie/clab_hawaii/tree/2.12.2024,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214776,https://github.com/carnegie/clab_hawaii/tree/Zenodo,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214792,https://github.com/educelab/volume-cartographer,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214795,https://github.com/woodcockgrp/evotypes_p1/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214796,"https://github.com/RichardObi/medigan, https://github.com/KSH0660/BrainTumor&quot;}","metadata.description, metadata.description"
10.5281/zenodo.10214824,https://github.com/nasa/ziggy/tree/v0.4.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214833,https://github.com/moble/spherical/tree/v1.0.14,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214834,https://github.com/ProjectPythia/advanced-viz-cookbook/tree/v2023.11.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214835,https://github.com/ProjectPythia/advanced-viz-cookbook/tree/v2023.11.4,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214836,https://github.com/cefect/FloodDownscaler/tree/v2024-02-01,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214837,https://github.com/cefect/FloodDownscaler/tree/v2023-11-28,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214838,https://github.com/scottprahl/laserbeamsize/tree/2.0.5,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214839,https://github.com/RBTV1/SWE-GNN-paper-repository-/tree/1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214840,https://github.com/RBTV1/SWE-GNN-paper-repository-/tree/1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214841,"https://github.com/iterative/dvc/pull/10117, https://github.com/iterative/dvc/pull/10120, https://github.com/iterative/dvc/compare/3.30.2...3.30.3, https://github.com/iterative/dvc/tree/3.30.3","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10214846,https://github.com/askhamwhat/impedance-examples/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214853,https://github.com/timghill/glads-laminar-turbulent/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214854,"https://github.com/milankl/ZfpCompression.jl/compare/v0.2.2...v0.2.3, https://github.com/milankl/ZfpCompression.jl/tree/v0.2.3","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10214892,https://github.com/dlnash/SEAK_climatology/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214893,https://github.com/dlnash/SEAK_climatology/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10214905,https://github.com/mjarcario/NanodiscAnalysis/tree/v1.0,metadata.related_identifiers[0].identifier
