doi,urls,positions
10.5281/zenodo.1006696,https://github.com/newville/wxmplot/tree/0.9.27,metadata.related_identifiers[0].identifier
10.5281/zenodo.10066960,"https://github.com/punch-mission/regularizepsf/pull/67, https://github.com/punch-mission/regularizepsf/pull/66, https://github.com/punch-mission/regularizepsf/pull/65, https://github.com/punch-mission/regularizepsf/pull/77, https://github.com/punch-mission/regularizepsf/pull/79, https://github.com/punch-mission/regularizepsf/pull/81, https://github.com/punch-mission/regularizepsf/pull/78, https://github.com/punch-mission/regularizepsf/pull/85, https://github.com/punch-mission/regularizepsf/pull/84, https://github.com/punch-mission/regularizepsf/pull/82, https://github.com/punch-mission/regularizepsf/pull/83, https://github.com/punch-mission/regularizepsf/pull/90, https://github.com/punch-mission/regularizepsf/pull/92, https://github.com/punch-mission/regularizepsf/pull/95, https://github.com/punch-mission/regularizepsf/pull/96, https://github.com/punch-mission/regularizepsf/pull/97, https://github.com/punch-mission/regularizepsf/pull/98, https://github.com/punch-mission/regularizepsf/pull/107, https://github.com/punch-mission/regularizepsf/pull/108, https://github.com/punch-mission/regularizepsf/pull/107, https://github.com/punch-mission/regularizepsf/compare/0.2.2...0.2.3, https://github.com/punch-mission/regularizepsf/tree/0.2.3","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10066964,https://github.com/ShinThant3010/Deep-Learning-based-KG-for-Covid19-Vaccination/tree/CORD19_KG,metadata.related_identifiers[0].identifier
10.5281/zenodo.10066965,https://github.com/ShinThant3010/Deep-Learning-based-KG-for-Covid19-Vaccination/tree/CORD19_KG,metadata.related_identifiers[0].identifier
10.5281/zenodo.1006699,"https://github.com/sunqm/pyscf/blob/master/doc/whatsnew/1.4.rst&gt;, https://github.com/sunqm/pyscf/tree/v1.4.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10066991,"https://github.com/qiboteam/qibojit/pull/139, https://github.com/qiboteam/qibojit/pull/141, https://github.com/qiboteam/qibojit/pull/142, https://github.com/qiboteam/qibojit/pull/143, https://github.com/qiboteam/qibojit/pull/145, https://github.com/qiboteam/qibojit/pull/147, https://github.com/qiboteam/qibojit/pull/146, https://github.com/qiboteam/qibojit/pull/148, https://github.com/qiboteam/qibojit/pull/149, https://github.com/qiboteam/qibojit/pull/150, https://github.com/qiboteam/qibojit/pull/153, https://github.com/qiboteam/qibojit/pull/146, https://github.com/qiboteam/qibojit/pull/150, https://github.com/qiboteam/qibojit/pull/153, https://github.com/qiboteam/qibojit/compare/v0.1.0...v0.1.1, https://github.com/qiboteam/qibojit/tree/v0.1.1","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10066998,https://github.com/easystats/parameters/tree/v0.21.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10066999,https://github.com/sasurfer/StatisticalAnalysis4CDRsSurvey/tree/1.0.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.1006700,https://github.com/lanec-unifesspa/5HT-aggression/tree/v.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10067000,https://github.com/sasurfer/StatisticalAnalysis4CDRsSurvey/tree/1.0.0,metadata.related_identifiers[0].identifier
