doi,urls,positions
10.5281/zenodo.10119884,https://github.com/Dioptas/Dioptas/tree/0.5.9,metadata.related_identifiers[0].identifier
10.5281/zenodo.10119902,https://github.com/mahmoodlab/MAPS/tree/1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10119914,https://github.com/sghosh89/WP3_SpatialSyn/tree/v3.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10119915,https://github.com/sghosh89/WP3_SpatialSyn/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10119965,"https://github.com/ga4gh/vrs-python/pull/186, https://github.com/ga4gh/vrs-python/compare/0.8.3...0.8.4, https://github.com/ga4gh/vrs-python/tree/0.8.4","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10120015,https://github.com/Bui-lab/SiliFish/tree/v2.6.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120016,https://github.com/mwalmsley/zoobot/tree/v1.0.5,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120017,https://github.com/Josesx506/Sorrento_submission/tree/v0.1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120018,https://github.com/Josesx506/Sorrento_submission/tree/v0.1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120019,https://github.com/crazyhottommy/scATACutils/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120020,https://github.com/crazyhottommy/scATACutils/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120021,"https://github.com/cgohlke/ptufile/tree/v2025.5.10, https://github.com/cgohlke/ptufile","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10120022,https://github.com/cgohlke/ptufile/tree/v2023.11.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120055,https://github.com/NAG-DevOps/speed-hpc/tree/7.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120056,https://github.com/NASA-PDS/pds4-information-model/tree/v14.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10120057,https://github.com/nithyanandan/AstroUtils/tree/v3.0.0,metadata.related_identifiers[0].identifier
