doi,urls,positions
10.5281/zenodo.10359794,https://github.com/bbfrederick/rapidtide/tree/v2.7.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359797,"https://github.com/pyomeca/ezc3d/pull/304, https://github.com/pyomeca/ezc3d/pull/305, https://github.com/pyomeca/ezc3d/compare/Release_1.5.6...Release_1.5.7, https://github.com/pyomeca/ezc3d/tree/Release_1.5.7","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359806,"https://github.com/jakta-bdi/jakta/compare/v0.7.42...v0.7.43, https://github.com/jakta-bdi/jakta/commit/74fd45d5565993589e3e301b5d5435c26af61446, https://github.com/jakta-bdi/jakta/tree/v0.7.43","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359817,https://github.com/niklasbrake/EEG_modelling/tree/v1.1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359818,https://github.com/niklasbrake/EEG_modelling/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359819,https://mapping-commons.github.io/sssom/spec/,metadata.description
10.5281/zenodo.10359824,https://github.com/DrTessier/lifestyle_metabolomics/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359825,https://github.com/DrTessier/lifestyle_metabolomics/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359832,https://github.com/EnergyEconomyDecoupling/CLPFUDatabase/tree/v0.1.9,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359833,https://github.com/EnergyEconomyDecoupling/CLPFUDatabase/tree/v0.1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359838,https://www.cost.eu).,metadata.notes
10.5281/zenodo.10359842,https://github.com/m2lines/seaice_DA-ML/tree/v.1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1035987,https://github.com/jayverhoef/spAReco/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359877,https://github.com/NASA-PDS/pds3-product-tools/tree/v4.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359878,https://github.com/HectorRDB/condiments/tree/v1.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359879,https://github.com/HectorRDB/condiments/tree/v1.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359880,https://github.com/NASA-PDS/pds3-product-tools/tree/v4.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359883,"https://github.com/bowtie-json-schema/bowtie/compare/v2023.12.7...v2023.12.8, https://github.com/bowtie-json-schema/bowtie/tree/v2023.12.8","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359888,https://github.com/fernandezfran/DFTB_LiSi_amorphous/tree/0.1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359907,https://github.com/ValenzuelaLab/ZdyrskiEtAl2023_CommBiol_TurtleLiverOrganoids/tree/Code_ZdyrskiEtAl2023,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359908,https://github.com/ValenzuelaLab/ZdyrskiEtAl2023_CommBiol_TurtleLiverOrganoids/tree/Code_ZdyrskiEtAl2023,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359909,"https://github.com/fg320/DEASC, https://github.com/fg320/DEASC","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10359910,"https://github.com/fg320/DEASC, https://github.com/fg320/DEASC","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10359933,https://github.com/neurobagel/bagel-cli/tree/v0.1.5,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359936,https://github.com/Geode-solutions/OpenGeode/tree/fix/version-rc-tag,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359937,"https://github.com/pymc-devs/pytensor/pull/543, https://github.com/pymc-devs/pytensor/pull/546, https://github.com/pymc-devs/pytensor/pull/547, https://github.com/pymc-devs/pytensor/compare/rel-2.18.2...rel-2.18.3, https://github.com/pymc-devs/pytensor/tree/rel-2.18.3","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359938,https://github.com/NASA-PDS/validate/tree/v3.4.0-SNAPSHOT,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359952,"https://github.com/bird-house/birdhouse-deploy/pull/410, https://github.com/bird-house/birdhouse-deploy/compare/2.0.0...2.0.1, https://github.com/bird-house/birdhouse-deploy/tree/2.0.1","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359963,https://github.com/lcauser/classically-optimised-circuits/tree/v1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359964,https://github.com/lcauser/classically-optimised-circuits/tree/v1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359981,"https://github.com/huntbrooks85/WRAP/compare/v1.5.0...v2.0.0, https://github.com/huntbrooks85/WRAP/tree/v2.0.0, https://github.com/huntbrooks85/WRAP","metadata.description, metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10359982,"https://github.com/huntbrooks85/WRAP, https://github.com/huntbrooks85/WRAP., https://github.com/huntbrooks85/WRAP/tree/v1.0.1","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10359983,https://github.com/LonghaoQian/AnimationModels/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359984,https://github.com/LonghaoQian/AnimationModels/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359998,https://github.com/Jedijoe100/SquareNormElements/tree/SquareNormElements,metadata.related_identifiers[0].identifier
10.5281/zenodo.10359999,https://github.com/Jedijoe100/SquareNormElements/tree/SquareNormElements,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360005,https://github.com/pyodide/pyodide/tree/0.25.0a2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360015,https://github.com/antiface/Historiotheque/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360016,https://github.com/antiface/Historiotheque/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360025,"https://github.com/pstafford/StochasticGroundMotionSimulation.jl/pull/39, https://github.com/pstafford/StochasticGroundMotionSimulation.jl/compare/v0.1.15...v0.1.19, https://github.com/pstafford/StochasticGroundMotionSimulation.jl/tree/v0.1.19","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10360033,"https://github.com/loscialer/WH_vulnerability/commits/v1.0.0, https://github.com/loscialer/WH_vulnerability/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10360034,"https://github.com/loscialer/WH_vulnerability/commits/v1.0.0, https://github.com/loscialer/WH_vulnerability/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10360036,https://github.com/LonghaoQian/AnimationModels/tree/v1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360049,"https://github.com/ezefranca/statistics/compare/1.0.0...1.0.1, https://github.com/ezefranca/statistics/tree/1.0.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10360058,"https://github.com/CliMA/ClimaCore.jl/compare/v0.11.4...v0.11.5, https://github.com/CliMA/ClimaCore.jl/tree/v0.11.5","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1036006,https://github.com/FofanovLab/VaST/tree/v1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10360061,"https://github.com/mit-ll/spacegym-kspdg/issues/2, https://github.com/mit-ll/spacegym-kspdg/compare/v0.4.3...v0.4.4, https://github.com/mit-ll/spacegym-kspdg/tree/v0.4.4","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
