doi,urls,positions
10.5281/zenodo.10142401,https://github.com/mikeldiazrodriguez/mountain_ranges/tree/V1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142402,https://github.com/mikeldiazrodriguez/mountain_ranges/tree/V1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142425,https://github.com/gepmat/S1P_keratinocytes/tree/S1P_keratinocytes,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142511,"https://github.com/RMLio/rmlmapper-java/issues/199, https://github.com/RMLio/rmlmapper-java/issues/215, https://github.com/RMLio/rmlmapper-java/issues/214, https://github.com/RMLio/rmlmapper-java/issues/218, https://github.com/RMLio/rmlmapper-java/tree/v6.3.0","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10142522,"https://ror.org/04h1h0y33, https://ror.org/02v616z87, https://ror.org/00k4n6c32, https://ror.org/011ed2d57, https://fr.mathworks.com/, https://fr.mathworks.com/, https://fr.Mathworks.Com/, https://www.r-project.org/, https://www.r-project.org/, https://www.R-project.Org/","metadata.notes, metadata.notes, metadata.notes, metadata.notes, metadata.method, metadata.method, metadata.method, metadata.method, metadata.method, metadata.method"
10.5281/zenodo.10142523,"https://ror.org/04h1h0y33, https://ror.org/02v616z87, https://ror.org/00k4n6c32, https://ror.org/011ed2d57, https://fr.mathworks.com/, https://fr.mathworks.com/, https://fr.Mathworks.Com/, https://www.r-project.org/, https://www.r-project.org/, https://www.R-project.Org/","metadata.notes, metadata.notes, metadata.notes, metadata.notes, metadata.method, metadata.method, metadata.method, metadata.method, metadata.method, metadata.method"
10.5281/zenodo.10142533,https://github.com/slagtermaarten/cyto_inference/tree/1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142534,https://github.com/slagtermaarten/cyto_inference/tree/0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142619,https://github.com/unifesp/prodmais/tree/v.1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142647,"https://github.com/ScaRLib-group/ScaRLib/compare/3.1.1...3.1.2, https://github.com/ScaRLib-group/ScaRLib/commit/2490106cc7fa67de2b4782775be816a4c3ce6cb0, https://github.com/ScaRLib-group/ScaRLib/tree/3.1.2","metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10142652,"https://github.com/cienciadedatosysalud/atlas-farmacia/blob/main/atlas_opioides/README.md, https://github.com/cienciadedatosysalud/atlas-farmacia/blob/main/atlas_antibioticos/README.md, https://github.com/cienciadedatosysalud/atlas-farmacia/pull/11, https://github.com/cienciadedatosysalud/atlas-farmacia/compare/3.0.1...3.0.2, https://github.com/cienciadedatosysalud/atlas-farmacia/tree/3.0.2","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10142688,https://github.com/zhuhr213/HDRNet/tree/v1.0.0.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142693,https://github.com/metno/snap/releases/tag/dry_deposition,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142706,https://github.com/eamenadatabase/prj-eamena-marea/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142707,https://github.com/eamenadatabase/prj-eamena-marea/tree/v1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142722,https://github.com/javascriptf/script-url-title/tree/1.1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142723,https://github.com/javascriptf/script-url-title/tree/1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142737,https://github.com/akosbudai/quantum-byzantine/tree/v0.0.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142738,https://github.com/akosbudai/quantum-byzantine/tree/v0.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142762,https://github.com/javascriptf/script-gist-conceal/tree/1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10142763,https://github.com/javascriptf/script-gist-conceal/tree/1.0.0,metadata.related_identifiers[0].identifier
