doi,urls,positions
10.5281/zenodo.1037578,https://github.com/jellis18/PTMCMCSampler/tree/1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037579,https://github.com/jellis18/PTMCMCSampler/tree/1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037580,https://github.com/DiamondLightSource/Savu/tree/v2.1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037583,https://github.com/ga4gh/dockstore/tree/1.3.0-rc.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10375858,https://github.com/MathieuMoalic/amumax/tree/2023.12.14,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037586,"https://github.com/naturalis/mycorrhiza/tree/v1.0.0, https://github.com/naturalis/mycorrhiza/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1037587,"https://github.com/naturalis/mycorrhiza/tree/v1.0.0, https://github.com/naturalis/mycorrhiza/tree/v1.0.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1037594,https://github.com/danielapacella/RobotBasicFear/tree/RobotBasicFear1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037595,https://github.com/danielapacella/RobotBasicFear/tree/RobotBasicFear1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376004,https://github.com/diku-dk/futhark/tree/nightly,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037601,https://github.com/waqasbhatti/astrobase/tree/v0.2.7,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037606,https://github.com/genjohnson/naive_bridge_computation/tree/1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037609,https://github.com/genjohnson/naive_bridge_computation/tree/1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376100,https://github.com/issa-project/issa-pipeline/tree/1.3,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037611,https://github.com/genjohnson/naive_bridge_computation/tree/1.0.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037612,https://github.com/specialistgeneralist/SimRunner/tree/1.0.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037613,https://github.com/MosquitoAlert/Data/tree/v1.300.2017,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376133,https://github.com/I-Form/LiDOT/tree/V1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376134,https://github.com/I-Form/LiDOT/tree/V1.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037616,https://github.com/gbabbitt/DROIDS-1.0---free-software-project-for-comparative-protein-dynamics/tree/1.14,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376160,https://github.com/tayebiarasteh/LLMmed,metadata.description
10.5281/zenodo.10376161,https://github.com/tayebiarasteh/LLMmed,metadata.description
10.5281/zenodo.10376180,https://github.com/cheminfo/nmrium/tree/v0.46.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037619,https://github.com/JuliaDiffEq/DifferentialEquations.jl/tree/v3.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037620,https://github.com/ropensci/getCRUCLdata/tree/0.1.10,metadata.related_identifiers[0].identifier
10.5281/zenodo.1037621,https://github.com/arose/nglview/tree/v1.0.b7,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376241,https://github.com/Wimmics/corese/tree/release-4.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10376248,https://github.com/OpenAPC/openapc-de/tree/v4.101.1-0-0,metadata.related_identifiers[0].identifier
