doi,urls,positions
10.5281/zenodo.10245313,https://github.com/RADAR-base/radar-helm-charts/tree/kube-prometheus-stack-0.4.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245315,https://github.com/RADAR-base/radar-helm-charts/tree/radar-appserver-0.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245316,https://github.com/RADAR-base/radar-helm-charts/tree/radar-fitbit-connector-0.3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245318,https://github.com/RADAR-base/radar-helm-charts/tree/radar-home-0.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245320,https://github.com/RADAR-base/radar-helm-charts/tree/radar-jdbc-connector-0.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245322,https://github.com/RADAR-base/radar-helm-charts/tree/radar-rest-sources-backend-1.1.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245325,https://github.com/RADAR-base/radar-helm-charts/tree/radar-upload-connect-backend-0.3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245328,https://github.com/RADAR-base/radar-helm-charts/tree/radar-upload-source-connector-0.3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245348,https://github.com/RADAR-base/radar-helm-charts/tree/catalog-server-0.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245349,https://github.com/RADAR-base/radar-helm-charts/tree/radar-backend-0.2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245350,https://github.com/RADAR-base/radar-helm-charts/tree/radar-integration-0.5.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245352,"https://github.com/RADAR-base/RADAR-Gateway/blob/master/gateway.yml., https://github.com/RADAR-base/radar-helm-charts/tree/radar-gateway-1.1.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10245355,https://github.com/RADAR-base/radar-helm-charts/tree/radar-s3-connector-0.3.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245358,"https://github.com/gaul/s3proxy/wiki/Storage-backend-examples., https://github.com/RADAR-base/radar-helm-charts/tree/s3-proxy-0.3.0","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10245373,https://github.com/joppli/XRD_denoising/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245374,https://github.com/joppli/XRD_denoising/tree/v1.0.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10245412,https://github.com/SofieMoors/martijnmanuscripts/tree/3,metadata.related_identifiers[0].identifier
