doi,urls,positions
10.5281/zenodo.1004658,https://github.com/NickleDave/hybrid-vocal-classifier/tree/v0.1.0-beta,metadata.related_identifiers[0].identifier
10.5281/zenodo.1004659,https://github.com/saeg/ba-dua/tree/ba-dua-0.4.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046594,"https://github.com/VisIVOLab/ViaLacteaVisualAnalytics/pull/110, https://github.com/VisIVOLab/ViaLacteaVisualAnalytics/pull/111, https://github.com/VisIVOLab/ViaLacteaVisualAnalytics/compare/1.6...1.6.1, https://github.com/VisIVOLab/ViaLacteaVisualAnalytics/tree/1.6.1","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046595,https://github.com/tobiasrausch/lorax/tree/v0.3.8,metadata.related_identifiers[0].identifier
10.5281/zenodo.1004662,https://github.com/dviraran/xCell/tree/1.12,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046629,https://github.com/ludwiglierhammer/index_calculator/tree/v0.11.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046630,https://github.com/ARUP-CAS/aiscr-webamcr/tree/v0.3.5z14,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046734,"https://github.com/itsdfish/DifferentialEvolutionMCMC.jl/compare/v0.7.6...v0.7.7, https://github.com/itsdfish/DifferentialEvolutionMCMC.jl/tree/v0.7.7","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046776,https://github.com/SHervoe-Hansen/SI-Excluded-Volume-Formation,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046777,https://github.com/SHervoe-Hansen/SI-Excluded-Volume-Formation,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046778,"https://github.com/nf-core/taxprofiler/pull/408, https://github.com/nf-core/taxprofiler/pull/405, https://github.com/nf-core/taxprofiler/pull/406, https://github.com/nf-core/taxprofiler/pull/409, https://github.com/nf-core/taxprofiler/tree/1.1.2","metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046779,"https://github.com/scikit-hep/awkward/pull/2766, https://github.com/scikit-hep/awkward/pull/2771, https://github.com/scikit-hep/awkward/pull/2767, https://github.com/scikit-hep/awkward/pull/2754, https://github.com/scikit-hep/awkward/pull/2758, https://github.com/scikit-hep/awkward/pull/2759, https://github.com/scikit-hep/awkward/pull/2769, https://github.com/scikit-hep/awkward/pull/2770, https://github.com/scikit-hep/awkward/pull/2776, https://github.com/scikit-hep/awkward/pull/2761, https://github.com/scikit-hep/awkward/pull/2729, https://github.com/scikit-hep/awkward/pull/2733, https://github.com/scikit-hep/awkward/pull/2756, https://github.com/scikit-hep/awkward/pull/2773, https://github.com/scikit-hep/awkward/pull/2777*, https://github.com/scikit-hep/awkward/pull/2763, https://github.com/scikit-hep/awkward/compare/v2.4.6...v2.4.7, https://github.com/scikit-hep/awkward/tree/v2.4.7","metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046780,https://github.com/firedrakeproject/tsfc/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046781,https://github.com/firedrakeproject/ufl/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046782,https://github.com/firedrakeproject/fiat/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046783,https://github.com/firedrakeproject/petsc/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046784,https://github.com/OP2/PyOP2/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046785,https://github.com/FInAT/FInAT/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046786,https://github.com/firedrakeproject/firedrake/tree/Firedrake_20231027.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046820,"https://github.com/lasteine/GNSS_RR.git, https://github.com/LMGrewe/GNSS_RR/tree/v2.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046821,https://github.com/LMGrewe/GNSS_RR/tree/v2.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046827,"https://github.com/kreis-viersen/xplan-reader/tree/v0.33.0, https://github.com/kreis-viersen/xplan-reader","metadata.related_identifiers[0].identifier, metadata.custom.code:codeRepository"
10.5281/zenodo.10046828,https://github.com/kreis-viersen/xplan-reader/tree/v0.21.1,metadata.related_identifiers[0].identifier
10.5281/zenodo.1004683,https://github.com/kbenoit/quanteda/tree/v0.99.12,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046846,"https://github.com/OlivierHnt/RadiiPolynomial.jl/compare/v0.7.4...v0.7.5, https://github.com/OlivierHnt/RadiiPolynomial.jl/tree/v0.7.5","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.1004686,https://github.com/proycon/folia/tree/v1.5.0.57,metadata.related_identifiers[0].identifier
10.5281/zenodo.1004687,https://github.com/proycon/pynlpl/tree/v1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046896,"https://github.com/scikit-hep/awkward/pull/2775, https://github.com/scikit-hep/awkward/pull/2779, https://github.com/scikit-hep/awkward/compare/v2.4.7...v2.5.0rc0, https://github.com/scikit-hep/awkward/tree/v2.5.0rc0","metadata.description, metadata.description, metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046904,https://github.com/SHervoe-Hansen/SI-Cavity-Formation,metadata.related_identifiers[0].identifier
10.5281/zenodo.10046952,"https://github.com/lasteine/GNSS_RR.git, https://github.com/LMGrewe/GNSS_RR/tree/v2.1","metadata.description, metadata.related_identifiers[0].identifier"
10.5281/zenodo.10046968,https://github.com/Bibbi93/2021-Tajogaite-eruption---Volcanica-paper/tree/v1.2,metadata.related_identifiers[0].identifier
10.5281/zenodo.10047009,https://github.com/kokonech/MBEN_snData_analysis/tree/publish,metadata.related_identifiers[0].identifier
10.5281/zenodo.10047010,https://github.com/kokonech/MBEN_snData_analysis/tree/publish,metadata.related_identifiers[0].identifier
10.5281/zenodo.10047021,"https://spice.clm-community.eu, https://spice.clm-community.eu","metadata.description, metadata.description"
10.5281/zenodo.10047024,https://github.com/comunica/comunica/tree/v2.10.0,metadata.related_identifiers[0].identifier
10.5281/zenodo.10047030,https://www.firedrakeproject.org/download.html,metadata.description
10.5281/zenodo.10047031,https://www.firedrakeproject.org/download.html,metadata.description
10.5281/zenodo.10047055,https://github.com/firedrakeproject/petsc/tree/Firedrake_20231027.1,metadata.related_identifiers[0].identifier
